SiteID,Funding,SitePurpose,PreFastTrack,DABOMsite,DABOMtype,DABOMbranch,DABOMpurpose,DABOM_Critical,ManagementCritical,PTAGISO&M,O&M_Agency,OperationalTime,PTAGISDataSteward,CH_POP_coverage%,ChinookGSI,ST_POP_coverage%,SteelheadGSI
18M,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,18.21,UPSALM,12.6,UPSALM
ACB,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Asotin,RECAP,,TRUE,WDFW,WDFW,FALSE,ELR,88.72,HELLSC,49.46,LSNAKE
ACM,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Asotin,TRT POP,,TRUE,WDFW,WDFW,FALSE,ELR,98.78,HELLSC,52.64,LSNAKE
AFC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Asotin,RECAP,,,WDFW,WDFW,FALSE,ELR,23.16,HELLSC,16.36,LSNAKE
AGC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,,UPSALM,,UPSALM
ALMOTC,,Adult Est.,FALSE,TRUE,WEIR,Almota Cr,RECAP 1,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
ALPOWC,,Adult Est.,TRUE,TRUE,WEIR,Alpowa Creek,RECAP 1,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
ASOTIC,,Adult Est.,TRUE,TRUE,WEIR,Asotin,RECAP,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
BBA,PCSRF,Adult Est.,FALSE,FALSE,INT,Potlatch,RECAP,,,IDFG,IDFG,FALSE,IDFG,,HELLSC,,LOCLWR
BCANF,,Adult Est.,FALSE,TRUE,WEIR,Wallowa,RECAP,,,,,FALSE,ODFW,,HELLSC,,GRROND
BHC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,INTEG,TRUE,QCI,0,UPSALM,1.69,UPSALM
BIGBEC,,Adult Est.,TRUE,TRUE,WEIR,Potlatch,RECAP,,,,,FALSE,IDFG,,HELLSC,,LOCLWR
BRC,,Adult Est.,FALSE,FALSE,INT,Bear Valley,TRT POP,,,?,SHO-BAN,FALSE,SHOBAN,96.07,MFSALM,19.04,MFSALM
BSC,BPA,Adult Est.,FALSE,TRUE,INT,Imnaha,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,51.7,HELLSC,18.72,IMNAHA
BTC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,,UPSALM,,UPSALM
BTL,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,INTEG,TRUE,QCI,9.57,UPSALM,8.66,UPSALM
BTM,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,6.71,UPSALM,7.64,UPSALM
BTU,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,4.39,UPSALM,5.09,UPSALM
CAC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,INTEG,TRUE,QCI,5.04,UPSALM,4.33,UPSALM
CATHEW,,Adult Est.,TRUE,TRUE,WEIR,Upper Grande Ronde,TRT POP,,,,,FALSE,ODFW,,HELLSC,,GRROND
CCA,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Asotin,RECAP,,,WDFW,WDFW,FALSE,ELR,6.09,HELLSC,4.46,LSNAKE
CCW,,Adult Ladder,FALSE,TRUE,INT,Upper Grande Ronde,RECAP,,TRUE,ODFW,ODFW,FALSE,ODFW,24.8,HELLSC,4.84,GRROND
CEY,,Habitat Eval,FALSE,TRUE,INT,Upper Salmon,RECAP,,,SHOBAN,SHO-BAN,FALSE,SHOBAN,80.89,UPSALM,16.2,UPSALM
CHARLC,,Adult Est.,TRUE,TRUE,WEIR,Asotin,RECAP,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
CLC,USFWS,Adult Est.,FALSE,TRUE,INT,Clear Creek,TRT POP,,,USFWS,USFWS,FALSE,USFWS,23.99,HELLSC,6.17,LOCLWR
CMP,BPA,Adult Est.,FALSE,TRUE,INT,Imnaha,RECAP,,,NPT,NPT,TRUE,NPT,4.61,HELLSC,4.38,IMNAHA
COC,BPA,Adult Est.,FALSE,TRUE,INT,Cow Creek,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,4.83,HELLSC,3.36,IMNAHA
CRC,PCSRF,Adult Est.,FALSE,TRUE,INT,Carmen Cr,TRT POP,,TRUE,QCI/NPT,Biomark,TRUE,QCI,1.99,MFSALM,3.33,UPSALM
CROTRP,,Adult Est.,FALSE,TRUE,WEIR,SF_Clearwater,RECAP,,,,,FALSE,IDFG,,HELLSC,,SFCLWR
CRT,,Adult Ladder,FALSE,TRUE,INT,SF_Clearwater,RECAP,,,IDFG,IDFG,FALSE,IDFG,9.76,HELLSC,9.42,SFCLWR
CZY,BPA,Adult Est.,FALSE,TRUE,INT,Imnaha,RECAP,,,NPT,NPT,TRUE,NPT,0,HELLSC,1.26,IMNAHA
DRY2C,,Adult Est.,FALSE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,NPT,,HELLSC,,IMNAHA
ESSA0,BPA,Adult/Juvenile,FALSE,TRUE,INT,SF Salmon,TRT POP,,,QCI/NPT,INTEG,TRUE,QCI,98.07,SFSALM,45.89,SFSALM
ESSB0,BPA,Adult/Juvenile,FALSE,TRUE,INT,SF Salmon,TRT POP,,,QCI/NPT,INTEG,TRUE,QCI,98.07,SFSALM,45.89,SFSALM
FISTRP,PCSRF,Adult Est.,TRUE,TRUE,WEIR,Lochsa,RECAP,,,,,FALSE,IDFG,,HELLSC,,UPCLWR
FREEZC,,Adult Est.,FALSE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,NPT,,HELLSC,,IMNAHA
GEORGC,,Adult Est.,TRUE,TRUE,WEIR,Asotin,RECAP,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
GRANDW,,Adult Est.,FALSE,TRUE,WEIR,Upper Grande Ronde,RECAP,,,,,FALSE,ODFW,,HELLSC,,GRROND
GUMBTC,,Adult Est.,FALSE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,NPT,,HELLSC,,IMNAHA
HEC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,,UPSALM,,UPSALM
HLM,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Potlatch,RECAP,,TRUE,IDFG,IDFG,FALSE,IDFG,2.39,HELLSC,3,LOCLWR
HORS3C,,Adult Est.,FALSE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,NPT,,HELLSC,,IMNAHA
HYC,BPA,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,7.02,UPSALM,10.21,UPSALM
IML,LSRCP,Adult Ladder,FALSE,TRUE,INT,Imnaha,RECAP,,,ODFW,ODFW,FALSE,ODFW,37.22,HELLSC,15.78,IMNAHA
IMNAHW,,Adult Est.,TRUE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,ODFW,,HELLSC,,IMNAHA
IR1,BPA,Adult/Juvenile,FALSE,TRUE,INT,Imnaha,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,94.95,HELLSC,96.02,IMNAHA
IR2,BPA,Adult/Juvenile,FALSE,TRUE,INT,Imnaha,TRT POP,,,QCI/NPT,INTEG,TRUE,QCI,84.55,HELLSC,87.92,IMNAHA
IR3,BPA,Adult/Juvenile,FALSE,TRUE,INT,Imnaha,RECAP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,69.62,HELLSC,32.98,IMNAHA
IR4,LSRCP,Weir Eval,FALSE,TRUE,INT,Imnaha,RECAP,,,ODFW,ODFW,FALSE,ODFW,37.07,HELLSC,15.75,IMNAHA
IR5,LSRCP,Weir Eval,FALSE,TRUE,INT,Imnaha,RECAP,,,ODFW,ODFW,FALSE,ODFW,37.07,HELLSC,15.68,IMNAHA
JOC,BPA,Adult Est.,FALSE,TRUE,INT,Joseph Creek,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,0,HELLSC,98.96,GRROND
JOHNSC,,,TRUE,TRUE,WEIR,SF Salmon,RECAP,,,,,FALSE,NPT,,SFSALM,,SFSALM
JOSEPC,,Adult Est.,FALSE,TRUE,WEIR,Joseph Creek,RECAP,,,,,FALSE,NPT,,HELLSC,,GRROND
JUL,PCSRF,Adult/Juvenile,TRUE,TRUE,INT,Potlatch,TRT POP,,,IDFG,IDFG,FALSE,IDFG,85.4,HELLSC,24.85,LOCLWR
KEN,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,0,UPSALM,1.11,UPSALM
KHS,PCSRF,Adult/Juvenile,TRUE,TRUE,INT,Potlatch,RECAP,,TRUE,IDFG,IDFG,FALSE,IDFG,2.87,HELLSC,3.69,LOCLWR
KOOS,,Adult Est.,FALSE,TRUE,WEIR,Clear Creek,RECAP,,,,,FALSE,NPT,,HELLSC,,LOCLWR
KRS,BPA,Adult/Juvenile,TRUE,TRUE,INT,SF Salmon,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,64.89,SFSALM,38.67,SFSALM
LAP,USBR,Adult/Juvenile,FALSE,TRUE,INT,Lapwai,TRT POP,,TRUE,USBR,NPT/BOR,TRUE,USBR,39.4,HELLSC,13.47,LOCLWR
LB8,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,0.06,UPSALM,4.04,UPSALM
LBEARC,,Adult Est.,TRUE,TRUE,WEIR,Potlatch,RECAP,,,,,FALSE,IDFG,,HELLSC,,LOCLWR
LBS,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,3.68,UPSALM,0.23,UPSALM
LC1,BPA,Adult Est.,FALSE,TRUE,INT,Lolo,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,53.68,HELLSC,95.46,SFCLWR
LC2,BPA,Adult Est.,FALSE,TRUE,INT,Lolo,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,51.12,HELLSC,94.5,SFCLWR
LCL,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,60.98,UPSALM,47.73,UPSALM
LLR,BPA,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,97,UPSALM,93.08,UPSALM
LLS,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,INTEG,TRUE,QCI,0,UPSALM,,UPSALM
LOOH,,Adult Est.,TRUE,TRUE,WEIR,Looking Glass,TRT POP,,,,,FALSE,ODFW,,HELLSC,,GRROND
LOSTIW,,Adult Est.,TRUE,TRUE,WEIR,Wallowa,TRT POP,,,,,FALSE,NPT,,HELLSC,,GRROND
LRL,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lochsa,TRT POP,,TRUE,IDFG,IDFG,FALSE,IDFG,99.6,HELLSC,99.84,UPCLWR
LRU,PCSRF,Adult Est.,FALSE,FALSE,INT,Lochsa,TRT POP,,TRUE,IDFG,IDFG,FALSE,IDFG,99.6,HELLSC,99.33,UPCLWR
LRW,BPA,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,73.13,UPSALM,56.84,UPSALM
LSHEEF,,Adult Est.,TRUE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,ODFW,,HELLSC,,IMNAHA
LTR,,Adult/Juvenile,TRUE,TRUE,INT,Tucannon,TRT POP,,,WDFW,WDFW,FALSE,WDFW,96.43,TUCANO,60.05,LSNAKE
MAHOGC,,Adult Est.,FALSE,TRUE,WEIR,Imnaha,RECAP,,,,,FALSE,NPT,,HELLSC,,IMNAHA
MIS,USBR,Adult/Juvenile,FALSE,TRUE,INT,Lapwai,RECAP,,,USBR,NPT/BOR,TRUE,USBR,7.34,HELLSC,4.95,LOCLWR
MR1,BPA,Adult Est.,FALSE,FALSE,INT,Upper Grande Ronde,TRT POP,,TRUE,NPT,NPT,TRUE,NPT,,HELLSC,,GRROND
MTR,,Adult/Juvenile,FALSE,TRUE,INT,Tucannon,RECAP,,,WDFW,WDFW,FALSE,WDFW,78.53,TUCANO,52.54,LSNAKE
NFS,,Adult Est.,FALSE,TRUE,INT,NF Salmon,TRT POP,,TRUE,,IDFG,FALSE,QCI,83.28,MFSALM,78.91,UPSALM
PAHH,,Adult Est.,TRUE,TRUE,WEIR,Upper Salmon,TRT POP,,,,,FALSE,IDFG,,UPSALM,,UPSALM
PCA,,Adult Est.,FALSE,FALSE,INT,Panther_Cr,TRT POP,,TRUE,,SHOBAN,FALSE,SHOBAN,95.8,MFSALM,76.74,UPSALM
PCM,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Potlatch,RECAP,,TRUE,IDFG,IDFG,FALSE,IDFG,8.25,HELLSC,2.05,LOCLWR
PENAWC,,Adult Est.,FALSE,TRUE,WEIR,Penawawa,RECAP 1,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
POTREF,,Adult Est.,TRUE,TRUE,WEIR,Potlatch,RECAP,,,,,FALSE,IDFG,,HELLSC,,LOCLWR
POTRWF,,Adult Est.,TRUE,TRUE,WEIR,Potlatch,RECAP,,,,,FALSE,IDFG,,HELLSC,,LOCLWR
RAPH,,Adult Est.,TRUE,TRUE,WEIR,Rapid River,RECAP,,,,,FALSE,IDFG,,HELLSC,,LOSALM
REDTRP,,Adult Est.,TRUE,TRUE,WEIR,SF_Clearwater,RECAP,,,,,FALSE,IDFG,,HELLSC,,SFCLWR
RFL,,Adult/Juvenile,FALSE,FALSE,INT,Upper Salmon,RECAP,,,IDFG,IDFG,FALSE,IDFG,5.27,UPSALM,1.93,UPSALM
RRT,,Adult Ladder,FALSE,TRUE,INT,SF_Clearwater,RECAP,,,IDFG,IDFG,FALSE,IDFG,16.1,HELLSC,18.22,SFCLWR
SALEFT,,Adult Est.,TRUE,TRUE,WEIR,Upper Salmon,TRT POP,,,,,FALSE,IDFG,,UPSALM,,UPSALM
SALRNF,,Adult Est.,FALSE,TRUE,WEIR,NF Salmon,TRT POP,,,,,FALSE,IDFG,,MFSALM,,UPSALM
SALSFW,,Adult Est.,TRUE,TRUE,WEIR,SF Salmon,RECAP,,,,,FALSE,IDFG,,SFSALM,,SFSALM
SAWT,,Adult Est.,TRUE,TRUE,WEIR,Upper Salmon,RECAP,,,,,FALSE,IDFG,,UPSALM,,UPSALM
SC1,BPA,Adult/Juvenile,FALSE,TRUE,INT,SF_Clearwater,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,36.16,HELLSC,11.12,SFCLWR
SC2,BPA,Adult/Juvenile,FALSE,TRUE,INT,SF_Clearwater,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,35.6,HELLSC,11.04,SFCLWR
SFG,BPA,Adult Est.,FALSE,TRUE,INT,SF Salmon,MAIN GATE,,TRUE,QCI/NPT,INTEG,TRUE,QCI,73.13,SFSALM,96.31,SFSALM
STL,,Adult Ladder,FALSE,TRUE,INT,Upper Salmon,RECAP,,,IDFG,IDFG,FALSE,IDFG,87.04,UPSALM,31.22,UPSALM
STR,,Adult Ladder,FALSE,TRUE,INT,SF Salmon,RECAP,,,IDFG,IDFG,FALSE,IDFG,28.95,SFSALM,22.38,SFSALM
SW1,BPA,Adult Est.,FALSE,TRUE,INT,Selway,TRT POP,,TRUE,NPT,NPT,TRUE,NPT,99.06,HELLSC,99.85,UPCLWR
SW2,BPA,Adult Est.,FALSE,FALSE,INT,Selway,TRT POP,,TRUE,NPT,NPT,TRUE,NPT,62.26,HELLSC,98.42,UPCLWR
SWT,USBR,Adult/Juvenile,TRUE,TRUE,INT,Lapwai,RECAP,,,USBR,NPT/BOR,TRUE,USBR,13.27,HELLSC,4.87,LOCLWR
TAY,BPA,Adult/Juvenile,TRUE,TRUE,INT,Big Creek,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,99.88,MFSALM,37.91,MFSALM
TENMC2,,Adult Est.,FALSE,TRUE,WEIR,TENMC2,RECAP 1,,,,,FALSE,WDFW,,HELLSC,,LSNAKE
TFH,,Weir Eval,FALSE,TRUE,INT,Tucannon,RECAP,,,WDFW,WDFW,FALSE,WDFW,22.32,TUCANO,11.16,LSNAKE
TUCH,,Adult Est.,FALSE,TRUE,WEIR,Tucannon,RECAP,,,,,FALSE,WDFW,,TUCANO,,LSNAKE
UGR,BPA,Adult/Juvenile,FALSE,TRUE,INT,Upper Grande Ronde,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,0,HELLSC,88.15,GRROND
UGS,,Weir Eval,FALSE,FALSE,INT,Upper Grande Ronde,RECAP,,TRUE,ODFW,ODFW,FALSE,ODFW,31.95,HELLSC,13.94,GRROND
USE,BPA,Adult Est.,FALSE,TRUE,INT,Upper Salmon,MAIN GATE,,TRUE,QCI/NPT,INTEG,TRUE,QCI,100,UPSALM,95.79,UPSALM
USI,BPA,Adult Est.,FALSE,TRUE,INT,Upper Salmon,RECAP,,,QCI/NPT,INTEG,TRUE,QCI,100,UPSALM,93.69,UPSALM
UTR,,Adult/Juvenile,FALSE,TRUE,INT,Tucannon,RECAP,,,WDFW,WDFW,FALSE,WDFW,40.37,TUCANO,20.38,LSNAKE
VC1,BPA,Adult/Juvenile,TRUE,TRUE,INT,Upper Salmon,TRT POP,,,QCI/NPT,INTEG,TRUE,QCI,96.93,UPSALM,16.45,UPSALM
VC2,BPA,Adult/Juvenile,TRUE,TRUE,INT,Upper Salmon,TRT POP,,TRUE,QCI/NPT,INTEG,TRUE,QCI,100,UPSALM,16.63,UPSALM
WALH,,Adult Est.,TRUE,TRUE,WEIR,Wallowa,RECAP,,,,,FALSE,ODFW,,HELLSC,,GRROND
WEB,USBR,Adult/Juvenile,FALSE,TRUE,INT,Lapwai,RECAP,,,USBR,NPT/BOR,TRUE,USBR,4.2,HELLSC,2.1,LOCLWR
WEN,,Adult Est.,FALSE,FALSE,INT,Wenaha,TRT POP,,,ODFW,ODFW,FALSE,ODFW,,HELLSC,,GRROND
WPC,PCSRF,Adult/Juvenile,FALSE,TRUE,INT,Lemhi River,RECAP,,,QCI,Biomark,TRUE,QCI,0,UPSALM,1.1,UPSALM
WR1,BPA,Adult/Juvenile,FALSE,TRUE,INT,Wallowa,MAIN GATE,,TRUE,QCI/NPT,INTEG,TRUE,QCI,97.62,HELLSC,95.12,GRROND
WR2,BPA,Adult/Juvenile,FALSE,FALSE,INT,Wallowa,TRT POP,,TRUE,NPT,NPT,TRUE,NPT,0,HELLSC,,GRROND
YFK,,Adult Est.,FALSE,TRUE,INT,Upper Salmon,TRT POP,,TRUE,SHOBAN,SHOBAN,FALSE,SHOBAN,98.27,UPSALM,99.17,UPSALM
YPP,MGS,Adult/Juvenile,FALSE,FALSE,INT,SF Salmon,RECAP,,,MGS,IDFG,FALSE,MGS,,SFSALM,,SFSALM
ZEN,BPA,Adult/Juvenile,FALSE,TRUE,INT,SF Salmon,TRT POP,,,QCI/NPT,INTEG,TRUE,QCI,,SFSALM,,SFSALM
